location_id,name,category,lat,lng,capacity
L001,Main Library,reading_room,35.142416, 129.034798,370
L002,Cafeteria A,cafeteria,35.141629, 129.034550,250
L003,Engineering Bldg,lecture,35.144272, 129.036288,430
L004,Study Zone B,reading_room,35.142272, 129.034824 ,400
L005,Gym Entrance,lecture,35.140039, 129.034349,200
L006,Student Center,lecture,35.139607, 129.033357,490
L007,Music hall,other,35.142052, 129.032927,300
L008,Residence hall A, lecture,35.141671, 129.033512,300
L009,Hyеanji,other,35.140970, 129.033472,90
L010,Residence hall B,lecture,35.142988, 129.032731,350
L011,Jicheon Hall,lecture,35.144256, 129.034980,150
L012,Information Engineering Building,lecture,35.145668, 129.036540,320
L013,Creativity Building,lecture,35.143747, 129.035283,350
L014,Cafeteria B,cafeteria,35.145696, 129.036555,250
L015,International Building,lecture,35.140957, 129.032381,300

